age,mileage,engine_size,horsepower,fuel_type,transmission_type,number_of_doors,brand_reputation_score,accident_history,fuel_efficiency,price
10,300654,3,303,2,0,5,6,0,24,24450
28,403789,3,384,0,1,3,0,5,23,1000
2,27489,5,496,0,0,3,6,0,21,62172
17,276831,5,497,0,0,4,8,4,21,22614
19,295015,2,238,0,1,2,5,1,34,3112
29,851065,5,500,0,1,3,9,2,15,1000
27,838275,1,142,1,1,3,5,2,33,1000
18,178224,3,281,2,0,5,5,5,25,7269
28,692745,3,285,1,1,3,8,1,28,1000
1,18694,5,500,1,1,5,3,3,18,54506
0,0,4,421,1,0,3,4,4,22,50393
14,437309,2,294,2,0,3,6,4,26,4898
16,469961,2,214,1,0,3,7,5,27,1000
32,1027728,3,375,0,0,3,7,0,23,1000
1,31796,2,287,1,0,2,5,1,29,45430
3,84541,5,500,1,1,4,4,4,16,48240
23,276668,3,311,1,0,3,7,5,29,1000
29,682414,4,443,0,1,4,4,5,17,1000
16,350550,1,189,1,0,3,1,0,34,1000
23,794145,4,448,0,1,5,4,4,19,1000
3,89919,4,443,2,0,3,6,0,19,54220
29,1101548,2,266,2,1,4,6,0,29,1000
19,565543,3,311,1,0,3,4,2,27,1000
7,135236,4,500,0,1,5,9,3,16,48122
32,907468,5,500,1,1,4,10,2,14,1000
16,448719,5,500,1,0,2,6,5,15,10935
8,180945,2,288,2,1,3,6,4,29,27161
2,37300,2,183,2,1,5,7,4,29,40003
27,1035647,3,326,0,0,4,7,2,26,1000
20,297351,4,455,1,1,4,3,1,21,10855
30,567482,3,269,2,1,4,9,3,24,1000
4,77081,1,170,0,0,4,5,5,32,24451
16,372615,1,163,2,0,4,7,0,35,7033
25,640519,4,396,1,0,4,7,2,17,1000
16,330598,5,500,1,1,3,7,1,15,27497
0,0,1,183,0,1,3,6,0,35,45572
14,449973,2,139,2,1,3,5,4,32,1000
3,78379,1,222,1,1,5,3,1,32,32078
28,489302,2,250,2,1,5,6,2,32,1000
27,759262,1,173,1,0,4,7,5,33,1000
0,0,3,366,1,1,3,6,1,25,56136
5,118019,5,500,2,0,4,4,4,12,42297
9,243689,2,226,1,0,2,4,2,30,14974
12,309511,2,250,0,1,2,8,1,30,17513
14,264037,2,269,0,1,4,5,3,27,9961
0,0,4,418,0,1,2,7,4,23,56653
7,166933,5,500,0,0,5,5,0,18,45100
1,20592,1,152,0,0,3,5,5,33,30775
9,172949,4,455,1,1,5,8,1,20,42654
14,390814,1,198,2,1,3,6,1,33,5933
28,444581,4,479,0,0,5,4,3,16,1000
23,561534,4,465,0,1,2,4,0,19,1000
11,231027,4,442,2,1,5,6,4,20,29971
5,107985,2,217,1,1,5,7,3,30,34319
30,675362,2,262,0,1,3,6,5,26,1000
23,465054,2,212,1,1,5,8,0,31,1000
14,303691,2,273,2,1,3,7,5,31,12172
29,630278,4,410,0,1,2,5,0,23,1000
5,114277,4,387,0,1,2,2,5,21,30140
26,683785,3,366,2,0,5,5,0,24,1000
16,527524,4,423,1,0,2,6,1,24,8757
9,75365,2,269,2,1,5,5,2,31,31522
12,352096,5,500,0,0,3,3,5,14,16243
30,1115210,3,342,1,0,2,3,3,25,1000
20,483001,5,499,2,0,4,0,1,12,1000
20,711844,3,399,0,1,5,7,1,24,1000
10,114109,1,140,2,0,4,7,4,38,21276
8,115956,4,442,1,1,2,4,4,20,33539
3,66732,3,339,0,0,4,10,1,23,52395
33,839750,3,424,1,1,5,8,5,21,1000
2,64151,3,350,0,1,4,6,2,25,45706
2,50442,3,441,2,1,5,5,4,21,47332
18,112364,5,500,2,1,2,5,1,18,31086
20,263975,3,397,2,0,4,6,3,23,11027
31,948656,4,408,1,1,4,7,2,21,1000
4,106294,2,281,2,1,4,2,4,29,28504
23,673374,4,405,2,1,3,5,4,24,1000
19,387295,5,500,2,1,4,9,0,18,25447
0,0,5,480,2,0,3,7,0,17,68854
10,225444,3,350,2,0,2,5,0,23,27676
23,771554,3,419,2,1,5,8,3,23,1000
13,501181,2,210,0,1,3,4,5,27,1000
24,436878,4,500,1,0,5,6,2,19,4084
29,682663,4,419,1,1,2,3,2,19,1000
23,547177,3,404,0,0,4,5,3,21,1000
32,861762,4,488,1,1,2,4,0,19,1000
13,431931,4,426,0,0,5,5,1,16,15229
18,482200,3,371,2,0,3,3,1,26,1119
20,603666,2,324,1,0,3,5,3,32,1000
3,97363,3,333,1,0,4,4,2,25,39725
20,592665,3,422,0,1,5,1,3,23,1000
1,28938,3,293,2,1,3,5,2,25,46769
22,384011,1,197,2,0,4,8,2,30,1000
11,303336,3,323,1,1,3,10,5,27,23846
13,370107,3,375,0,0,5,5,4,21,8479
17,220272,4,445,0,1,5,4,1,16,19408
2,45408,4,467,0,0,5,5,0,22,55066
16,437023,1,135,1,1,2,8,4,31,1000
0,0,3,268,2,0,5,3,2,25,43091
29,671339,3,315,0,1,5,9,1,23,1000
31,807914,2,274,1,1,2,3,3,28,1000
24,760380,5,500,0,1,4,8,4,14,1000
10,220274,3,368,0,1,4,9,3,23,32447
20,593258,3,365,1,1,2,2,5,27,1000
1,21822,4,458,2,0,4,0,1,13,48063
29,546195,4,500,2,0,2,6,1,19,1000
7,186764,4,415,0,1,2,8,3,21,39127
31,1021367,5,500,0,0,3,7,2,15,1000
1,10868,5,469,2,0,3,8,3,18,62391
29,980021,5,500,0,1,4,6,4,13,1000
5,120397,2,314,1,1,5,4,1,26,35076
21,740186,5,500,1,1,3,5,5,16,1000
21,560948,2,189,2,1,3,5,3,29,1000
1,20660,2,261,1,0,4,3,3,26,38335
2,60636,4,494,2,1,5,5,1,16,57174
30,616805,3,375,1,1,4,6,2,24,1000
3,79382,3,382,2,1,2,5,1,20,45333
13,269886,3,357,0,1,2,7,2,22,21544
4,79641,3,409,2,0,4,3,0,21,44114
30,746690,1,176,0,0,3,1,0,36,1000
9,253026,1,240,0,1,3,4,5,29,10368
25,1175447,2,225,0,0,2,3,0,28,1000
28,578567,5,500,2,0,2,5,1,12,1000
30,1020270,5,476,1,1,5,5,5,17,1000
7,176041,4,454,1,1,2,7,3,19,40132
10,443701,5,490,0,1,3,3,0,16,22489
15,476005,3,290,2,0,2,5,1,29,4325
11,324027,3,338,1,1,2,4,4,24,11106
24,728928,3,314,2,0,2,4,2,25,1000
21,472136,2,254,2,0,3,6,0,32,1000
19,550986,4,477,0,1,5,4,2,16,1000
28,426410,2,278,2,0,2,8,2,26,1000
14,282225,1,159,1,0,3,6,2,32,6075
19,525859,4,500,1,1,4,4,3,16,1000
32,1096473,5,500,0,0,4,5,0,17,1000
24,701465,2,215,0,0,5,6,5,30,1000
34,605287,2,268,2,1,5,3,0,30,1000
31,779368,5,500,2,1,2,4,0,17,1000
8,167789,1,122,1,1,4,4,2,33,16346
22,679457,2,231,1,1,5,1,1,32,1000
20,416552,4,485,1,1,5,5,5,20,4317
3,76178,4,425,0,0,5,5,3,18,43490
29,622291,1,124,2,0,4,3,1,33,1000
2,51933,5,500,1,0,4,4,2,16,52532
6,154806,4,418,2,0,3,4,0,19,41626
32,434338,5,500,0,1,5,7,0,19,1000
34,1171496,3,371,2,0,2,5,2,24,1000
26,364812,1,193,0,0,3,4,4,34,1000
7,207807,2,340,0,1,5,6,3,26,28585
28,306141,1,178,2,1,4,1,1,32,1000
8,180756,4,424,2,0,5,7,5,20,35390
13,395878,3,300,1,0,4,7,3,25,11943
0,0,3,363,0,0,5,1,2,26,44276
9,139354,4,474,1,0,4,7,0,17,44199
1,30062,3,350,0,1,3,8,1,27,54728
19,569204,3,327,0,0,3,5,3,26,1000
5,144069,2,280,2,1,2,6,3,27,33091
26,1107101,4,477,0,0,4,9,2,20,1000
22,520412,4,416,2,0,4,3,4,20,1000
6,221585,1,150,2,0,5,4,3,27,15671
23,469587,1,146,1,1,5,2,2,38,1000
12,335660,2,303,1,1,2,7,3,24,16002
26,419938,5,479,2,0,4,1,5,18,1000
3,74288,1,210,1,1,3,5,5,31,30046
19,441276,2,294,0,1,4,9,4,26,1000
29,888540,3,356,1,1,5,9,3,23,1000
13,299313,4,403,2,1,2,6,2,19,25032
1,21331,4,484,1,1,5,4,1,21,57793
23,631420,4,436,0,0,3,3,0,18,1000
29,463767,2,173,0,0,2,7,1,32,1000
34,264899,1,191,1,1,5,9,2,31,1000
3,59406,1,168,1,0,4,6,2,31,33902
28,473485,2,322,2,0,4,5,5,24,1000
31,1065853,4,420,0,1,5,3,1,24,1000
18,559914,4,468,0,0,2,7,1,18,7229
16,515932,2,180,1,1,3,4,0,29,1000
22,723276,1,169,0,1,4,5,2,35,1000
19,321402,2,217,1,0,2,7,3,31,2320
6,159573,2,358,2,0,2,2,5,26,24213
0,0,3,361,0,1,2,5,5,24,47210
26,675547,4,461,1,1,5,4,5,21,1000
34,972020,3,387,1,0,2,2,1,24,1000
30,792183,2,189,0,0,2,4,4,35,1000
18,317737,2,234,0,0,2,5,5,29,1000
15,313105,2,241,2,1,5,7,2,25,10708
28,537355,4,434,0,1,3,4,2,19,1000
28,896156,5,471,1,0,2,2,3,17,1000
0,0,4,486,0,1,5,0,5,20,45684
24,705236,3,314,1,1,3,4,0,25,1000
2,39765,2,202,1,0,4,7,5,28,37783
8,242055,5,480,1,0,5,3,2,13,31219
32,1146918,4,486,1,0,2,4,3,17,1000
16,350130,5,500,1,0,5,3,1,15,16323
29,607294,4,481,0,1,3,6,5,16,1000
16,451471,3,323,2,1,5,5,1,23,6283
29,593579,2,182,1,1,3,7,4,33,1000
17,380430,2,295,0,0,5,5,3,27,1000
2,59591,1,204,0,0,5,6,1,33,37713
9,147707,3,304,1,1,3,9,5,26,30720
20,636359,4,442,0,1,3,4,5,18,1000
28,686336,5,500,2,0,2,4,5,14,1000
17,381104,1,214,1,0,4,5,0,32,1644
13,409569,4,471,1,1,4,2,4,20,10359
24,591611,2,273,0,0,4,1,3,30,1000
8,271081,3,353,0,0,5,5,0,24,27985
24,559082,5,477,2,1,2,2,3,16,1000
25,793936,1,186,0,1,2,1,2,33,1000
22,778747,4,416,2,0,2,4,4,22,1000
8,200160,3,439,0,1,2,7,1,18,37313
4,127252,4,499,0,1,5,5,0,21,49034
24,678884,5,488,0,0,4,3,4,16,1000
12,307239,4,437,1,1,4,8,5,20,23807
27,886338,1,184,1,1,5,2,4,33,1000
19,225023,2,282,1,1,4,5,1,30,7729
31,1056627,4,477,2,0,5,5,0,18,1000
30,761078,2,261,1,0,5,6,1,27,1000
8,136216,2,245,2,0,3,8,1,26,32596
4,127131,4,482,2,0,5,4,5,21,41672
1,38810,4,500,2,1,2,3,0,19,56072
18,368259,3,386,2,0,4,6,2,24,10445
34,399316,4,417,1,0,4,5,3,20,1000
4,57949,2,201,2,0,2,6,0,29,39315
6,175583,4,500,2,0,5,2,3,12,33746
1,21719,3,304,1,1,5,3,3,29,40961
20,580964,3,348,2,0,5,7,0,29,1000
17,548662,5,488,0,1,2,6,3,14,7080
11,182218,4,378,0,0,5,2,3,22,19600
18,621756,4,397,2,0,4,4,4,24,1000
32,821975,4,438,1,0,3,4,0,18,1000
4,107273,3,339,1,0,3,5,3,23,38872
27,938977,2,227,2,0,2,4,4,34,1000
0,0,5,500,2,1,4,3,3,14,55784
5,94139,3,433,2,1,4,9,3,17,51010
26,918606,3,360,0,1,3,4,4,23,1000
9,189030,2,278,2,1,4,5,1,27,27947
25,443562,5,500,2,0,5,5,4,13,1000
18,363755,3,365,2,1,2,2,4,23,1000
17,357107,2,267,2,1,5,7,3,28,7021
33,435337,4,401,2,1,5,8,1,23,1000
7,148799,5,500,0,1,5,6,4,13,41891
19,443678,2,322,2,1,2,2,5,26,1000
11,343189,4,462,1,1,2,6,3,20,24529
27,898397,3,431,2,0,5,4,4,18,1000
5,113018,4,469,2,1,2,5,4,18,42626
13,390475,4,500,0,1,4,5,2,17,17819
28,1109697,5,500,0,1,5,3,2,16,1000
33,1064536,3,324,2,0,3,8,2,21,1000
2,24033,3,335,2,1,4,5,3,26,46780
26,732702,1,189,1,1,4,7,2,35,1000
1,27243,4,377,2,0,2,3,0,22,51354
20,505254,1,181,2,0,5,5,3,36,1000
31,1061430,3,352,1,1,5,5,1,27,1000
18,493233,2,307,0,1,5,5,5,26,1000
31,905050,5,500,1,1,2,5,0,15,1000
7,196739,5,453,0,1,5,4,4,16,32257
31,900885,3,372,1,1,2,2,1,20,1000
32,832566,5,487,2,0,2,6,3,18,1000
28,595682,4,500,2,1,3,0,3,15,1000
22,505586,4,433,2,1,2,7,3,17,2291
9,230505,3,363,0,1,5,4,3,25,22075
22,723154,3,383,1,1,2,5,4,22,1000
28,609170,2,275,1,0,2,6,5,29,1000
5,87103,2,299,0,0,5,9,2,30,43182
23,638160,4,473,2,1,3,1,5,18,1000
3,98470,5,500,0,1,2,8,3,14,53587
3,70474,3,342,0,0,5,4,0,20,42364
6,127758,1,177,2,0,3,3,0,29,23351
13,285015,2,261,1,1,2,6,4,26,9338
6,175625,2,169,0,1,5,7,5,32,23087
16,452513,3,333,1,0,5,4,1,27,3024
15,505284,2,306,0,1,5,3,5,25,1000
16,350488,5,500,0,0,3,3,4,15,11025
28,727682,2,226,2,1,3,4,3,28,1000
1,26713,2,290,1,0,4,1,5,29,30932
12,169254,4,436,2,1,5,8,3,23,36501
4,54859,4,491,2,1,5,1,3,12,42255
17,290940,1,155,1,0,2,5,3,35,1000
3,65623,4,423,0,0,2,7,3,19,48543
28,947286,2,312,0,0,5,5,1,27,1000
11,214722,2,235,1,0,4,5,3,31,14176
31,391107,4,440,0,0,2,7,5,21,1000
11,276075,3,306,1,0,3,4,1,27,17744
34,694629,3,232,2,1,4,4,2,28,1000
34,950660,4,418,0,0,3,6,2,22,1000
31,944899,2,258,0,1,2,3,0,28,1000
13,425686,1,191,0,0,3,3,0,30,1000
3,81767,4,371,1,1,3,4,3,19,42178
30,577670,5,500,2,1,5,6,0,15,1000
33,1134966,3,399,0,0,3,3,0,20,1000
28,931611,2,281,1,0,3,2,5,25,1000
31,417015,3,321,1,0,5,5,0,26,1000
4,116896,5,500,2,1,3,7,0,17,58272
10,210034,5,500,2,1,2,3,5,13,28657
15,383200,3,356,0,1,4,7,1,27,16680
6,223898,5,472,0,0,2,5,3,14,36446
15,467158,1,124,0,1,5,1,2,33,1000
7,278957,5,500,2,1,4,2,4,17,29659
20,461515,2,300,1,0,2,4,2,31,1000
7,197027,4,423,1,1,3,5,1,20,37991
14,361886,2,266,2,1,5,6,2,31,11751
34,553241,4,444,0,0,4,3,1,16,1000
8,279450,3,287,1,1,3,2,2,28,16750
26,688576,3,394,0,0,3,2,1,25,1000
22,540995,2,212,0,1,4,7,0,32,1000
11,260650,1,173,1,0,4,1,0,29,6513
21,510138,4,432,0,1,5,4,1,23,1000
10,214047,4,493,2,0,3,2,5,19,24368
18,531139,4,340,0,0,3,8,5,21,1000
21,346818,4,460,2,0,3,5,5,18,5327
19,556573,3,417,2,0,5,6,2,18,1000
27,730492,2,224,0,1,5,2,1,22,1000
16,643701,5,464,2,1,3,8,1,17,11386
16,374017,2,215,0,0,3,6,3,33,1000
4,95704,4,500,2,0,5,3,3,21,45517
32,1160350,3,391,1,1,2,5,1,24,1000
15,294507,3,311,2,1,3,3,1,28,11071
15,275742,4,456,2,1,5,3,2,18,17504
34,555801,4,487,1,0,2,2,0,22,1000
18,502234,2,213,0,1,2,4,5,31,1000
27,610252,2,219,1,0,4,6,1,30,1000
5,117869,2,263,1,1,2,8,0,27,41452
19,558549,3,324,2,0,5,4,3,29,1000
18,448842,3,313,0,1,3,5,4,30,1000
2,53578,1,201,1,0,4,7,4,32,35707
8,300410,1,194,1,0,2,5,3,29,12066
20,517189,2,231,0,0,4,6,4,28,1000
8,187383,2,356,0,1,5,4,5,24,21230
19,501689,1,174,1,1,4,4,1,33,1000
4,86117,3,361,1,1,2,4,3,24,38546
25,569671,5,500,2,1,5,6,5,14,1000
16,446582,3,360,1,0,4,5,5,26,1000
16,464544,5,498,1,0,5,4,4,18,7728
5,85104,3,414,1,1,2,4,5,24,36601
17,606168,3,314,2,1,2,10,5,30,1000
18,400346,2,221,2,1,5,1,5,32,1000
10,183707,4,426,2,0,5,4,0,19,34267
24,262083,3,319,0,1,3,2,0,26,1000
1,24302,5,442,0,0,4,4,5,20,49487
24,509956,3,316,0,0,5,8,0,24,1000
26,746175,4,465,1,1,2,4,2,20,1000
12,304988,2,252,0,1,2,7,4,28,11600
6,158921,4,419,2,1,3,6,3,19,39329
31,1127728,3,363,1,1,4,4,2,19,1000
30,848788,1,156,1,0,2,8,5,33,1000
2,71368,5,500,0,0,2,6,2,13,55118
26,439699,4,474,0,0,4,4,0,22,1000
24,524641,2,263,0,0,2,4,2,27,1000
27,590529,5,500,2,1,2,7,3,18,1000
0,0,2,214,2,0,2,6,5,32,41896
8,229485,5,500,2,1,3,1,4,15,27814
9,278449,4,418,1,0,4,4,3,18,24415
27,893018,3,368,1,0,5,5,3,22,1000
33,627197,2,305,0,0,3,1,0,26,1000
14,559747,3,375,2,1,4,5,2,26,5511
11,99336,4,500,0,0,2,4,5,18,30095
1,26009,4,460,0,0,3,5,0,17,57021
1,30775,2,319,1,1,4,5,1,27,46176
11,229344,4,431,0,1,4,1,1,18,21209
29,1149603,2,267,2,1,2,3,4,29,1000
31,752341,3,383,0,0,4,7,3,20,1000
24,485409,3,388,1,0,3,7,5,22,1000
30,944042,1,163,2,1,5,5,2,33,1000
27,446472,3,361,1,0,3,6,0,28,1000
14,249997,1,207,1,1,5,5,0,32,12030
17,370753,3,283,1,0,5,5,0,27,8207
14,272632,3,322,0,1,5,7,3,22,17983
2,27314,4,475,2,1,2,5,4,19,51936
22,512141,4,434,0,0,5,4,4,20,1000
22,374628,3,390,2,1,5,3,3,20,1000
4,98884,2,297,2,0,2,2,5,26,27980
14,307269,4,417,1,1,2,8,0,24,28413
19,836859,5,500,1,0,4,2,4,14,1000
15,363875,3,373,0,0,3,9,4,25,16465
23,387838,4,463,2,1,3,7,5,15,3886
31,636615,4,489,0,1,4,4,5,17,1000
10,92897,1,139,0,0,3,5,4,32,14926
18,601487,5,498,2,0,2,5,1,17,6240
28,1250081,1,189,2,0,4,6,2,34,1000
20,400071,2,157,0,0,2,9,1,31,1000
22,489384,2,288,2,0,2,8,4,29,1000
21,514770,2,257,1,0,3,6,1,28,1000
19,318788,5,500,0,1,5,7,3,18,17564
4,107810,5,498,1,1,2,2,3,13,41250
21,606671,3,273,0,0,5,5,0,27,1000
1,20015,4,458,0,0,2,5,2,16,54263
9,342568,2,342,2,0,5,3,4,25,12374
23,538922,4,494,1,0,2,5,1,16,1000
31,1050441,5,500,2,1,2,4,1,14,1000
0,0,1,205,2,1,2,5,3,32,41304
14,369661,3,287,0,0,4,5,3,29,5778
13,347073,3,335,2,1,3,4,4,21,8935
15,496991,2,253,2,1,2,3,4,23,1000
19,376640,5,500,2,0,3,6,0,13,18446
11,408284,2,283,2,1,5,8,1,24,18706
9,298656,2,270,1,1,2,4,2,28,16380
34,1526431,2,285,2,1,3,5,5,28,1000
28,181071,1,169,1,1,4,4,5,31,1000
7,209080,1,147,2,0,5,7,3,36,23819
12,281087,3,309,1,1,3,4,3,25,14290
3,51860,5,478,2,0,5,3,1,14,51726
33,804200,4,416,0,0,5,4,4,18,1000
21,530754,1,114,1,1,2,8,4,34,1000
24,292027,3,336,1,0,5,3,5,25,1000
21,518479,2,238,0,1,5,6,4,30,1000
21,459176,2,184,2,1,4,6,3,32,1000
33,593568,4,442,0,0,4,5,0,19,1000
32,495728,2,229,0,1,5,7,2,30,1000
19,393341,5,500,2,1,2,9,0,19,26656
34,654920,1,256,0,1,3,8,5,33,1000
19,420518,3,411,0,0,4,6,1,20,6886
9,303164,2,150,2,0,5,6,3,33,12700
5,88722,3,292,0,0,4,4,2,25,33765
32,542796,5,500,1,0,5,9,3,12,1000
7,154054,4,500,1,0,2,6,3,13,40761
27,730714,4,440,0,0,2,5,5,21,1000
25,573581,4,462,1,0,3,3,2,22,1000
32,940479,4,475,1,0,5,5,0,16,1000
19,444027,1,153,2,0,3,7,5,34,1000
16,432945,2,211,2,1,4,2,1,28,1000
12,198335,3,289,1,0,2,4,0,24,21563
11,282190,5,500,1,0,5,9,3,15,35920
28,961989,2,249,1,1,5,4,3,29,1000
22,362212,2,246,2,0,5,7,5,31,1000
24,439095,2,223,1,1,4,6,1,32,1000
9,219313,3,382,2,1,2,7,1,20,34683
13,183593,4,417,0,1,5,3,1,18,23046
5,125084,4,495,0,0,2,4,1,13,42183
33,364792,1,147,1,0,2,2,3,34,1000
31,598802,4,450,2,1,4,5,1,23,1000
12,365351,3,364,0,1,4,3,2,17,11186
10,176308,3,293,1,0,4,6,0,25,29013
6,185203,3,299,1,1,4,8,5,25,32463
4,142684,4,500,1,1,2,5,3,17,45152
31,807529,2,263,1,0,4,7,4,32,1000
33,705461,2,271,1,0,2,7,0,26,1000
15,418900,2,233,0,0,4,2,5,29,1000
0,0,1,228,0,0,5,5,5,34,38465
25,443789,5,500,0,1,3,1,2,20,1000
4,69742,1,127,0,1,4,2,0,31,25802
30,629920,1,169,1,0,5,6,3,31,1000
18,465089,3,364,2,0,3,6,4,22,1000
22,610109,1,175,2,0,3,4,0,34,1000
31,1199997,4,439,2,1,2,2,3,20,1000
4,132508,3,296,0,0,5,4,5,23,29128
14,340505,1,141,2,1,2,6,2,33,3062
12,234060,3,350,2,0,4,2,2,26,16379
19,337985,3,266,0,0,3,3,3,27,1000
3,16466,2,277,2,0,4,6,3,25,43137
18,426674,4,434,0,1,2,4,3,18,2766
10,284497,4,500,0,0,3,3,3,18,24884
3,75454,2,256,1,1,3,4,1,28,37378
32,201466,1,174,2,1,2,5,2,33,1000
8,243597,4,373,1,0,3,5,0,22,32496
12,273063,4,443,1,0,5,4,3,22,22443
17,200412,2,277,1,1,2,6,3,26,11255
15,217512,2,293,1,1,4,4,1,29,11835
12,327653,5,485,0,0,5,6,3,16,24481
21,533602,3,403,1,0,2,6,3,21,1000
22,579511,3,337,0,1,2,4,5,22,1000
13,293774,3,257,2,1,3,5,0,25,17393
8,279152,3,399,0,1,3,1,3,23,18670
9,168244,3,365,1,1,5,3,0,24,29993
14,333553,3,347,1,0,5,6,3,25,13774
32,799892,4,452,0,1,2,1,2,17,1000
17,397712,1,184,2,0,3,6,0,32,1091
2,41251,5,500,1,0,2,6,2,16,57112
33,402171,3,326,0,0,3,8,1,24,1000
24,656709,2,279,0,1,3,6,0,32,1000
21,551393,2,232,1,1,5,5,3,28,1000
3,87483,3,392,0,0,4,8,5,22,43803
3,87256,3,278,0,0,4,4,5,25,30603
26,416608,4,416,0,0,2,6,2,20,1000
34,1042486,3,311,1,1,2,4,3,27,1000
17,474497,2,215,2,0,3,7,1,29,1000
20,370965,4,479,2,1,4,5,2,21,12253
2,63251,4,473,0,1,4,7,1,19,58140
24,370362,2,262,2,1,4,6,5,29,1000
7,253351,2,295,1,0,2,6,0,28,29489
8,102433,4,500,2,0,2,4,2,16,40514
30,829585,4,457,2,1,3,7,0,16,1000
19,494407,4,407,0,0,5,5,5,20,1000
9,250894,3,333,2,0,3,4,4,28,19950
8,216442,3,348,1,1,3,7,1,22,34039
31,536524,4,399,1,0,4,7,0,22,1000
29,911566,4,403,2,0,2,4,0,21,1000
20,721473,3,386,2,0,2,6,3,21,1000
31,647488,4,430,2,0,2,5,1,19,1000
15,348988,2,281,1,0,5,6,2,26,7979
32,885529,4,493,1,1,2,3,5,16,1000
34,547778,2,276,0,1,5,5,0,29,1000
15,541588,4,500,1,0,2,7,2,18,15234
16,271196,4,421,1,0,2,6,5,19,15188
21,648133,4,435,1,1,2,4,2,18,1000
9,252238,1,195,2,0,2,6,1,36,19436
28,619100,3,285,0,0,3,2,0,27,1000
17,456398,3,427,2,0,3,5,2,20,7824
23,353860,5,500,1,1,5,4,5,17,3922
32,1007612,2,219,2,0,2,6,2,33,1000
18,347948,3,362,0,1,5,2,5,24,1000
14,415842,2,157,1,0,2,5,4,28,1000
8,179855,1,210,0,0,3,5,1,33,21846
22,813906,3,386,2,0,4,2,0,23,1000
6,4761,3,389,2,1,2,4,1,21,45574
20,378093,5,500,1,1,5,3,4,15,6438
21,875483,3,410,0,1,3,5,1,25,1000
26,477269,2,245,0,0,3,4,0,31,1000
3,61630,2,211,2,0,3,4,4,30,30508
25,381268,2,289,1,0,3,3,3,28,1000
9,152969,1,213,2,0,3,5,5,31,17583
28,693419,1,213,1,0,3,4,1,35,1000
7,144745,1,207,1,1,2,1,1,31,18658
8,219288,5,500,0,1,4,4,3,13,33413
29,705291,1,194,1,0,5,7,5,35,1000
20,484922,3,385,2,0,5,4,1,23,1000
16,454883,3,341,2,0,3,4,0,25,5617
25,571758,5,500,1,0,2,4,5,18,1000
34,1097442,5,500,2,1,4,4,3,17,1000
23,632674,1,183,0,0,2,7,5,38,1000
17,266998,3,259,1,0,4,7,3,28,10448
17,452251,4,361,1,1,5,3,5,19,1000
9,261437,2,251,0,1,4,5,5,28,14836
11,262594,2,247,1,0,5,6,1,33,17747
3,88288,4,417,0,0,4,7,2,20,51043
10,232510,4,416,2,1,4,6,2,22,32186
30,716050,5,500,1,1,2,3,1,18,1000
8,81551,3,297,0,0,5,2,0,27,28774
8,289657,3,337,0,0,2,7,1,23,27880
4,96595,3,272,1,0,2,4,0,26,37126
19,644671,4,421,0,1,2,1,4,20,1000
19,535130,2,220,1,1,3,10,1,35,1000
18,548624,1,144,2,0,4,3,0,28,1000
0,0,2,292,1,1,2,4,4,29,43420
11,359609,4,405,0,1,5,4,4,21,15981
8,177110,5,484,2,0,4,4,5,18,33640
14,314193,2,253,1,1,5,2,0,28,6355
27,570675,3,354,1,0,2,3,1,26,1000
31,1028493,2,224,0,0,5,2,0,30,1000
18,486309,4,377,2,1,4,4,5,23,1000
32,318303,2,238,2,1,3,6,4,26,1000
3,54547,2,270,1,0,2,7,5,25,35915
20,424361,4,500,0,0,5,6,5,16,5725
25,854546,1,168,1,1,5,5,0,29,1000
14,267996,5,486,1,0,5,7,4,14,26347
2,39149,4,396,0,1,4,4,0,18,48854
4,126880,4,395,2,0,3,6,5,21,39866
34,996429,2,186,2,0,5,7,2,31,1000
12,322606,2,306,1,1,3,8,2,29,20793
18,276480,5,483,2,0,4,4,3,13,16918
14,627931,3,357,0,0,4,6,5,25,1000
25,476634,3,340,0,0,2,9,2,25,1000
16,539693,4,450,1,0,3,8,5,18,7457
16,456171,4,448,0,0,3,4,5,21,2451
29,707286,4,492,0,0,3,0,1,16,1000
14,220723,3,366,1,1,2,7,4,22,21823
3,70926,5,500,0,1,3,6,5,12,49983
5,129794,5,484,2,0,5,4,4,17,43137
1,19811,2,318,2,0,2,0,4,29,35610
22,555575,3,328,1,0,4,8,3,27,1000
26,882021,4,443,2,0,3,5,5,16,1000
2,58619,3,310,2,1,4,7,3,25,47841
5,106405,1,141,0,0,5,6,1,34,29345
7,159140,4,443,2,0,4,6,3,21,40130
24,743025,2,268,0,0,2,8,0,30,1000
9,160714,2,239,1,0,2,4,4,30,18099
17,280886,3,390,1,0,2,7,1,21,19439
4,108009,3,385,2,0,5,3,3,20,35444
1,28694,1,149,1,0,2,4,2,32,35258
29,570957,4,454,2,0,2,5,0,22,1000
25,655142,3,300,0,1,2,5,3,22,1000
1,26402,3,328,1,0,3,5,1,28,48424
30,949152,4,500,1,1,2,6,4,18,1000
7,170723,2,310,2,0,2,5,1,26,31112
15,451948,4,449,0,1,4,1,5,17,1000
27,568477,3,338,1,1,5,5,1,27,1000
30,844114,1,97,2,0,4,6,1,38,1000
28,573775,4,448,2,1,2,5,5,17,1000
29,388050,3,351,1,0,5,7,3,29,1000
23,689744,3,394,2,1,5,9,4,21,1000
3,76634,4,387,0,0,3,8,1,20,51303
13,316752,1,185,0,1,2,5,5,32,1000
